nbSain,nbInfection,nbMorts,nbConfiner,nbMaks
0,2,0,0,0
0,48,0,0,0
9952,182,1,0,5144
9817,609,5,11,5240
9386,1629,16,393,5372
8355,2903,42,1665,5257
7055,3415,107,4374,4580
6478,3194,221,6723,3066
6585,2773,359,7241,1795
6868,2384,483,7275,1485
7133,2066,576,7279,1523
7358,1730,684,7279,1534
7586,1446,772,7279,1497
7782,1202,844,7279,1510
7954,1026,895,7279,1454
8079,881,945,7279,1485
8174,791,967,7279,1506
8242,698,1007,7268,1484
8295,637,1041,8560,1531
8322,608,1069,8161,843
8323,615,1100,6665,1038
8285,659,1125,6607,1831
8216,636,1152,8335,1856
8212,557,1186,9386,926
8257,480,1218,9803,324
8302,407,1235,9927,111
8358,375,1255,9981,40
8370,338,1274,9994,7
8388,311,1290,9997,4
8399,289,1302,9998,2
8409,297,1308,9999,0
8395,279,1322,9999,0
8399,255,1337,8325,0
8408,240,1346,8425,933
8414,249,1353,8149,848
8398,273,1356,6965,1013
8371,293,1373,6604,1620
8334,292,1384,7596,1873
8324,286,1394,8681,1328
8320,259,1408,9395,732
8333,228,1415,9708,327
8357,195,1424,9884,166
8381,196,1431,9956,64
8373,194,1438,9984,25
8368,177,1441,9994,8
8382,165,1452,9995,2
8383,155,1457,9998,4
8388,162,1462,9027,2
8376,163,1467,8676,553
8370,172,1470,8322,743
8358,177,1479,7504,922
8344,190,1490,6977,1379
8320,210,1493,7297,1684
8297,213,1501,8113,1422
8286,198,1509,8891,1074
8293,185,1524,9392,607
8291,181,1533,9684,336
8286,150,1539,9838,159
8311,146,1545,9922,99
8309,144,1556,9965,38
8300,143,1559,9985,20
8298,129,1564,9992,7
8307,124,1571,9411,3
8305,125,1574,8988,322
8301,116,1584,8534,569
8300,113,1588,7863,808
8299,112,1593,7352,1189
8295,113,1604,7343,1450
8283,118,1605,7838,1463
8277,115,1613,8460,1164
8272,113,1619,9013,840
8268,108,1622,9446,534
8270,102,1626,9708,325
8272,92,1634,9850,171
8274,81,1639,9915,77
8280,86,1642,9953,42
8272,77,1647,9972,26
8276,81,1648,9656,16
8271,74,1654,9257,207
8272,77,1656,8825,407
8267,82,1660,8217,678
8258,99,1662,7636,958
8239,115,1664,7404,1287
8221,117,1667,7682,1388
8216,112,1676,8166,1259
8212,114,1682,8644,1042
8204,109,1689,9067,748
8202,104,1691,9463,502
8205,102,1696,9696,297
8202,96,1700,9824,179
8204,96,1704,9900,98
8200,95,1709,9947,48
8196,93,1714,9765,31
8193,81,1718,9470,130
8201,77,1721,9079,284
8202,72,1724,8581,514
8204,73,1727,8038,770
8200,78,1732,7631,1085
8190,82,1732,7671,1294
8186,85,1736,7982,1273
8179,79,1740,8400,1093
